author,category,comment_count,country,date,img_title,title,url
'News',Chess.com News,10,'International',2020-06-14 18:35,"Boxbox won Group D's first-place prize on Sunday, booking him a match with Forsen in the quarterfinals.",Boxbox Wins Group D Finale Heading Into PogChamps Quarterfinals,https://www.chess.com/news/view/chesscom-pogchamps-boxbox-xqc
'PeterDoggers',Chess Event Coverage,9,'Netherlands',2020-07-25 04:59,Magnus Carlsen has won all his matches so far. Photo: Maria Emelianova/Chess.com.,Carlsen Sole Leader At Legends Of Chess,https://www.chess.com/news/view/chess24-legends-of-chess-round-4
'PROChessLeague',Chess.com News,9,'International',2020-01-17 16:51,David Navara scored a perfect 4/4 for the Hungary Hunters en route to an 11-5 win over the Croatia Bulldogs.,Top 5 Highlights: PRO Chess League Week 2,https://www.chess.com/news/view/top-5-highlights-pro-chess-league-week-2
'PeterDoggers',Chess Event Coverage,41,'Netherlands',2020-06-02 10:49,Hikaru Nakamura. Photo: Maria Emelianova/Chess.com.,Lindores Abbey Final: Nakamura Wins 1st Match Vs. Dubov,https://www.chess.com/news/view/lindores-abbey-final-nakamura-dubov-match-1
'MikeKlein',Chess Event Coverage,105,'United States',2020-07-14 16:38,"The 2020 ChessKid Youth Speed Chess Championship moves on to weekend number two on Saturday, July 18, 2020.",ChessKid Youth Speed Chess Championship Moves to Semifinals,https://www.chess.com/news/view/chesskid-youth-scc-semifinals
'News',Chess.com News,11,'International',2020-03-08 15:21,Chess.com and HashtagChess will be bringing more attention to chess on the African continent with expanded live coverage,Chess.com Teams Up With HashtagChess For African Event Coverage,https://www.chess.com/news/view/african-chess-broadcast-coverage
'PeterDoggers',Chess Event Coverage,66,'Netherlands',2020-01-19 09:06,Alireza Firouzja vs. Jeffery Xiong with Magnus Carlsen watching. Photo: Alina L'Ami/Tata Steel Chess.,Firouzja Regains Lead At Tata Steel Chess,https://www.chess.com/news/view/2020-tata-steel-chess-round-7-firouzja
'PeterDoggers',Chess Event Coverage,15,'Netherlands',2020-03-08 08:04,"Alina Kashlinskaya, now in shared first place. Photo: David Llada/FIDE.",Lausanne Women's Grand Prix Day 6: Kashlinskaya Joins Leaders,https://www.chess.com/news/view/lausanne-women-chess-grand-prix-round-6
'PeterDoggers',Chess Event Coverage,22,'Netherlands',2020-03-10 08:23,Alexandra Kosteniuk lost her fourth game in Lausanne. Photo: David Llada/FIDE.,Lausanne Women's Grand Prix Day 7: Kosteniuk Struggling,https://www.chess.com/news/view/lausanne-women-chess-grand-prix-round-7
'News',Chess.com News,65,'International',2019-12-03 10:54,Hikaru Nakamura has confirmed his participation in the Puzzle Battle World Championship. Photo: Maria Emelianova / Chess.com.,"Play Alongside Nakamura, Vachier-Lagrave, Grischuk In Puzzle Battle World Championship",https://www.chess.com/news/view/puzzle-battle-championship
