author,category,comment_count,country,date,img_title,title,url
chess24 staff,category,12,,"Jul 26, 2020 | 7:34 AM",,Q&A with Dutch no. 1 Anish Giri,https://chess24.com/en/read/news/q-a-with-dutch-no-1-anish-giri
Colin McGourty,category,2,,"Oct 27, 2017 | 12:10 PM",,Wei Yi’s Sicilian strikes but Ivanchuk wins match,https://chess24.com/en/read/news/wei-yi-s-sicilian-strikes-but-ivanchuk-wins-match
Colin McGourty,category,1,,"Mar 26, 2019 | 8:40 PM",,US Champs 5-6: Naka leads as Fabi finally wins,https://chess24.com/en/read/news/us-champs-5-6-naka-leads-as-fabi-finally-wins
Colin McGourty,category,2,,"Mar 27, 2019 | 3:00 PM",,Euro Champs 6-9: Artemiev overtakes Kramnik,https://chess24.com/en/read/news/euro-champs-6-9-artemiev-overtakes-kramnik
Colin McGourty,category,1,,"Mar 28, 2019 | 4:51 PM",,US Chess Champs 7: Explosive chess,https://chess24.com/en/read/news/us-champs-7-explosive-chess
Macauley Peterson,category,21,,"Mar 5, 2017 | 12:22 AM",,"Chess podcasts, then and now",https://chess24.com/en/read/news/chess-podcasts-the-old-and-the-new
Colin McGourty,category,1,,"Mar 30, 2019 | 11:41 AM",,US Chess Champs 8-9: Big guns take over,https://chess24.com/en/read/news/us-chess-champs-8-9-big-guns-take-over
Colin McGourty,category,19,,"Oct 17, 2016 | 7:36 AM",,Russian Superfinal 1: Svidler starts in style,https://chess24.com/en/read/news/russian-superfinal-1-svidler-starts-in-style
Colin McGourty,category,4,,"Oct 18, 2016 | 8:17 PM",,Russian Superfinal 3: Who wants to win a queen?,https://chess24.com/en/read/news/russian-superfinal-3-who-wants-to-win-a-queen
Colin McGourty,category,2,,"Oct 17, 2016 | 6:48 PM",,Russian Superfinal 2: Kosteniuk crushes Gunina,https://chess24.com/en/read/news/russian-superfinal-2-kosteniuk-crushes-gunina
Colin McGourty,category,2,,"Oct 19, 2016 | 8:23 PM",,Russian Superfinal 4: Oparin joins the leaders,https://chess24.com/en/read/news/russian-superfinal-4-oparin-joins-the-leaders
Colin McGourty,category,56,,"Aug 26, 2017 | 11:13 AM",,The World Cup starts in 1 week! Predictions?,https://chess24.com/en/read/news/the-world-cup-starts-in-1-week-predictions
David Martínez,category,31,,"Mar 3, 2017 | 9:57 PM",,Tan Zhongyi is the new Women's World Chess Champion,https://chess24.com/en/read/news/tan-zhongyi-is-the-new-womens-world-chess-champion
Macauley Peterson,category,15,,"Mar 7, 2017 | 1:57 PM",,"AntonSquaredMe, agent of chaos",https://chess24.com/en/read/news/antonsquaredme-agent-of-chaos
Macauley Peterson,category,10,,"Nov 26, 2015 | 2:26 PM",,New Thematic Tournaments,https://chess24.com/en/read/news/new-thematic-tournaments
Colin McGourty,category,13,,"Nov 30, 2015 | 5:13 PM",,London Chess Classic Preview,https://chess24.com/en/read/news/london-chess-classic-preview
chess24 staff,category,10,,"Nov 28, 2015 | 10:56 AM",,Behind the scenes – a chess24 internship,https://chess24.com/en/read/news/behind-the-scenes-a-chess24-internship
